Date,number
2019-01-01,364
2019-02-01,431
2019-03-01,473
2019-04-01,483
2019-05-01,465
2019-06-01,451
2019-07-01,446
2019-08-01,494
2019-09-01,500
2019-10-01,501
2019-11-01,521
2019-12-01,494
2019-13-01,432
2019-14-01,481
2019-15-01,482
2019-16-01,474
2019-17-01,488
2019-18-01,510
2019-19-01,493
2019-20-01,439
2019-21-01,446
2019-22-01,480
2019-23-01,498
2019-24-01,478
2019-25-01,502
2019-26-01,493
2019-27-01,456
2019-28-01,476
2019-29-01,477
2019-30-01,481
2019-31-01,506
2019-01-02,550
2019-02-02,474
2019-03-02,405
2019-04-02,472
2019-05-02,464
2019-06-02,492
2019-07-02,491
2019-08-02,528
2019-09-02,480
2019-10-02,451
2019-11-02,479
2019-12-02,517
2019-13-02,495
2019-14-02,497
2019-15-02,520
2019-16-02,517
2019-17-02,414
2019-18-02,418
2019-19-02,490
2019-20-02,501
2019-21-02,497
2019-22-02,529
2019-23-02,489
2019-24-02,454
2019-25-02,488
2019-26-02,494
2019-27-02,502
2019-28-02,512
2019-01-03,485
2019-02-03,423
2019-03-03,419
2019-04-03,449
2019-05-03,446
2019-06-03,468
2019-07-03,474
2019-08-03,509
2019-09-03,464
2019-10-03,404
2019-11-03,470
2019-12-03,482
2019-13-03,479
2019-14-03,483
2019-15-03,514
2019-16-03,461
2019-17-03,398
2019-18-03,439
2019-19-03,451
2019-20-03,455
2019-21-03,474
2019-22-03,473
2019-23-03,455
2019-24-03,385
2019-25-03,411
2019-26-03,400
2019-27-03,420
2019-28-03,418
2019-29-03,408
2019-30-03,402
2019-31-03,383
2019-01-04,443
2019-02-04,461
2019-03-04,445
2019-04-04,417
2019-05-04,433
2019-06-04,435
2019-07-04,402
2019-08-04,438
2019-09-04,462
2019-10-04,460
2019-11-04,472
2019-12-04,497
2019-13-04,497
2019-14-04,413
2019-15-04,482
2019-16-04,497
2019-17-04,491
2019-18-04,472
2019-19-04,496
2019-20-04,432
2019-21-04,378
2019-22-04,452
2019-23-04,519
2019-24-04,462
2019-25-04,473
2019-26-04,514
2019-27-04,503
2019-28-04,412
2019-29-04,468
2019-30-04,484
2019-01-05,523
2019-02-05,478
2019-03-05,492
2019-04-05,472
2019-05-05,418
2019-06-05,460
2019-07-05,451
2019-08-05,497
2019-09-05,467
2019-10-05,515
2019-11-05,471
2019-12-05,407
2019-13-05,446
2019-14-05,476
2019-15-05,483
2019-16-05,508
2019-17-05,493
2019-18-05,442
2019-19-05,385
2019-20-05,437
2019-21-05,472
2019-22-05,454
2019-23-05,476
2019-24-05,514
2019-25-05,443
2019-26-05,394
2019-27-05,396
2019-28-05,465
2019-29-05,479
2019-30-05,479
2019-31-05,532
2019-01-06,418
2019-02-06,414
