Date,number
2019-01-01,1020
2019-02-01,1239
2019-03-01,1262
2019-04-01,1341
2019-05-01,1343
2019-06-01,1209
2019-07-01,1130
2019-08-01,1275
2019-09-01,1328
2019-10-01,1320
2019-11-01,1379
2019-12-01,1276
2019-13-01,1213
2019-14-01,1208
2019-15-01,1226
2019-16-01,1288
2019-17-01,1265
2019-18-01,1432
2019-19-01,1315
2019-20-01,1208
2019-21-01,1193
2019-22-01,1282
2019-23-01,1294
2019-24-01,1308
2019-25-01,1421
2019-26-01,1406
2019-27-01,1284
2019-28-01,1325
2019-29-01,1230
2019-30-01,1243
2019-31-01,1352
2019-01-02,1364
2019-02-02,1338
2019-03-02,1197
2019-04-02,1204
2019-05-02,1227
2019-06-02,1303
2019-07-02,1343
2019-08-02,1409
2019-09-02,1358
2019-10-02,1164
2019-11-02,1262
2019-12-02,1317
2019-13-02,1372
2019-14-02,1380
2019-15-02,1421
2019-16-02,1417
2019-17-02,1251
2019-18-02,1316
2019-19-02,1328
2019-20-02,1347
2019-21-02,1402
2019-22-02,1380
2019-23-02,1328
2019-24-02,1322
2019-25-02,1321
2019-26-02,1355
2019-27-02,1390
2019-28-02,1337
2019-01-03,1501
2019-02-03,1451
2019-03-03,1293
2019-04-03,1324
2019-05-03,1383
2019-06-03,1424
2019-07-03,1507
2019-08-03,1470
2019-09-03,1355
2019-10-03,1413
2019-11-03,1406
2019-12-03,1359
2019-13-03,1443
2019-14-03,1355
2019-15-03,1568
2019-16-03,1501
2019-17-03,1328
2019-18-03,1334
2019-19-03,1403
2019-20-03,1420
2019-21-03,1389
2019-22-03,1527
2019-23-03,1473
2019-24-03,1296
2019-25-03,1332
2019-26-03,1322
2019-27-03,1420
2019-28-03,1461
2019-29-03,1510
2019-30-03,1386
2019-31-03,1318
2019-01-04,1386
2019-02-04,1377
2019-03-04,1414
2019-04-04,1438
2019-05-04,1578
2019-06-04,1476
2019-07-04,1319
2019-08-04,1323
2019-09-04,1458
2019-10-04,1502
2019-11-04,1486
2019-12-04,1563
2019-13-04,1498
2019-14-04,1414
2019-15-04,1418
2019-16-04,1459
2019-17-04,1454
2019-18-04,1537
2019-19-04,1520
2019-20-04,1379
2019-21-04,1301
2019-22-04,1486
2019-23-04,1462
2019-24-04,1599
2019-25-04,1587
2019-26-04,1751
2019-27-04,1668
2019-28-04,1495
2019-29-04,1533
2019-30-04,1530
2019-01-05,1595
2019-02-05,1605
2019-03-05,1716
2019-04-05,1577
2019-05-05,1522
2019-06-05,1495
2019-07-05,1556
2019-08-05,1610
2019-09-05,1588
2019-10-05,1759
2019-11-05,1613
2019-12-05,1537
2019-13-05,1499
2019-14-05,1636
2019-15-05,1570
2019-16-05,1684
2019-17-05,1721
2019-18-05,1619
2019-19-05,1524
2019-20-05,1453
2019-21-05,1574
2019-22-05,1656
2019-23-05,1577
2019-24-05,1700
2019-25-05,1563
2019-26-05,1435
2019-27-05,1312
2019-28-05,1513
2019-29-05,1554
2019-30-05,1629
2019-31-05,1635
2019-01-06,1669
2019-02-06,1501
2019-03-06,1534
2019-04-06,1573
2019-05-06,1652
2019-06-06,1616
2019-07-06,1663
2019-08-06,1610
2019-09-06,1520
2019-10-06,1540
2019-11-06,1609
2019-12-06,1610
2019-13-06,1492
2019-14-06,1724
2019-15-06,1623
2019-16-06,1520
2019-17-06,1489
2019-18-06,1568
2019-19-06,1644
2019-20-06,1633
2019-21-06,1704
2019-22-06,1664
2019-23-06,1555
2019-24-06,1450
2019-25-06,1435
2019-26-06,1465
2019-27-06,1483
2019-28-06,1697
2019-29-06,1540
2019-30-06,1459
2019-01-07,1405
2019-02-07,1527
2019-03-07,1616
2019-04-07,1238
2019-05-07,1461
2019-06-07,1493
2019-07-07,1369
2019-08-07,1346
2019-09-07,1422
2019-10-07,1447
2019-11-07,1463
2019-12-07,1490
2019-13-07,1471
2019-14-07,1312
2019-15-07,1385
2019-16-07,1490
2019-17-07,1439
2019-18-07,1466
2019-19-07,1524
2019-20-07,1470
2019-21-07,1370
2019-22-07,1395
2019-23-07,1470
2019-24-07,1429
2019-25-07,1447
2019-26-07,1558
2019-27-07,1479
2019-28-07,1383
2019-29-07,1398
2019-30-07,1439
2019-31-07,1516
2019-01-08,1505
2019-02-08,1609
2019-03-08,1515
2019-04-08,1411
2019-05-08,1459
2019-06-08,1603
2019-07-08,1532
2019-08-08,1502
2019-09-08,1621
2019-10-08,1591
2019-11-08,1407
2019-12-08,1443
2019-13-08,1466
2019-14-08,1571
2019-15-08,1577
2019-16-08,1645
2019-17-08,1513
2019-18-08,1452
2019-19-08,1430
2019-20-08,1562
2019-21-08,1543
2019-22-08,1489
2019-23-08,1664
2019-24-08,1573
2019-25-08,1447
2019-26-08,1453
2019-27-08,1453
2019-28-08,1504
2019-29-08,1500
2019-30-08,1689
2019-31-08,1507
2019-01-09,1367
2019-02-09,1237
2019-03-09,1477
2019-04-09,1498
2019-05-09,1468
2019-06-09,1640
2019-07-09,1548
2019-08-09,1386
2019-09-09,1512
2019-10-09,1529
2019-11-09,1492
2019-12-09,1556
2019-13-09,1592
2019-14-09,1533
2019-15-09,1425
2019-16-09,1390
2019-17-09,1474
2019-18-09,1522
2019-19-09,1530
2019-20-09,1620
2019-21-09,1551
2019-22-09,1446
2019-23-09,1395
2019-24-09,1487
2019-25-09,1461
2019-26-09,1482
2019-27-09,1564
2019-28-09,1486
2019-29-09,1335
2019-30-09,1388
2019-01-10,1410
2019-02-10,1400
2019-03-10,1407
2019-04-10,1506
2019-05-10,1444
2019-06-10,1293
2019-07-10,1260
2019-08-10,1261
2019-09-10,1269
2019-10-10,1227
2019-11-10,1295
2019-12-10,1293
2019-13-10,1238
2019-14-10,1202
2019-15-10,1280
2019-16-10,1341
2019-17-10,1266
2019-18-10,1402
2019-19-10,1272
2019-20-10,1274
2019-21-10,1213
2019-22-10,1270
2019-23-10,1365
2019-24-10,1320
2019-25-10,1330
2019-26-10,1239
2019-27-10,1283
2019-28-10,1232
2019-29-10,1274
2019-30-10,1319
2019-31-10,1216
2019-01-11,1497
2019-02-11,1365
2019-03-11,1362
2019-04-11,1356
2019-05-11,1335
2019-06-11,1410
2019-07-11,1386
2019-08-11,1504
2019-09-11,1469
2019-10-11,1352
2019-11-11,1300
2019-12-11,1311
2019-13-11,1405
2019-14-11,1396
2019-15-11,1504
2019-16-11,1417
2019-17-11,1344
2019-18-11,1344
2019-19-11,1414
2019-20-11,1368
2019-21-11,1392
2019-22-11,1443
2019-23-11,1411
2019-24-11,1375
2019-25-11,1433
2019-26-11,1468
2019-27-11,1494
2019-28-11,1149
2019-29-11,1339
2019-30-11,1283
2019-01-12,1410
2019-02-12,1444
2019-03-12,1473
2019-04-12,1499
2019-05-12,1506
2019-06-12,1621
2019-07-12,1542
2019-08-12,1392
2019-09-12,1413
2019-10-12,1388
2019-11-12,1523
2019-12-12,1599
2019-13-12,1645
2019-14-12,1679
2019-15-12,1406
2019-16-12,1452
2019-17-12,1501
2019-18-12,1627
2019-19-12,1603
2019-20-12,1658
2019-21-12,1564
2019-22-12,1469
2019-23-12,1530
